INVOICED_AMOUNT,FISCAL_QUARTER,PRODUCT_CATEGORY,SUPPLIER_NAME,IS_PREFERRED_SUPPLIER,CHANNEL,IS_CATALOG
100.0,Q1 FY2014,Asset,Cephalon  Inc.,Yes,Ebuy,no
30.0,Q1 FY2014,Asset,Cephalon  Inc.,Yes,Ebuy,yes
12.33,Q1 FY2014,Asset,Cephalon  Inc.,Yes,PO,no
23.62,Q1 FY2014,Asset,Dza Brands Llc,Yes,PO,no
34.0,Q1 FY2014,Asset,Godwin-Sbo  Lp,No,Pcard,yes
15.4,Q1 FY2014,Asset,H.J. Harkins Company  Inc.,No,Ebuy,yes
314.38,Q1 FY2014,Asset,Matrixx Initiatives  Inc.,No,PO,no
238.83,Q1 FY2014,Asset,Matrixx Initiatives  Inc.,No,Pcard,no
23.62,Q1 FY2014,Asset,Mckesson,Yes,PO,no
172.69,Q1 FY2014,Asset,Safeway Inc.,No,Pcard,no
36.0,Q1 FY2014,Asset,Sandoz Inc,No,Pcard,yes
17.87,Q1 FY2014,Asset,Sbot,No,PO,no
57.17,Q1 FY2014,Asset,Skinfix  Inc.,Yes,Ebuy,yes
15.0,Q1 FY2014,Asset,Skinfix  Inc.,Yes,Pcard,yes
4.23,Q1 FY2014,Asset,Ventura International Ltd,No,Pcard,yes
51.36,Q1 FY2014,Asset,Walgreen Co.,No,Ebuy,yes
20.26,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Ab7 Industries,Yes,Ebuy,yes
39.8,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Alk-Abello  Inc.,Yes,Ebuy,yes
51.62,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Avkare  Inc.,No,Ebuy,no
51.36,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Best Buy ,Yes,Pcard,yes
37.4,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,C.D.M.A.  Inc,No,Ebuy,no
0,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Cephalon  Inc.,Yes,Ebuy,no
61.9,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Cephalon  Inc.,Yes,Ebuy,yes
44.84,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Cephalon  Inc.,Yes,PO,no
36.9,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Cephalon  Inc.,Yes,PO,yes
564.0,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Cephalon  Inc.,Yes,Pcard,yes
3670.2,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Chattem  Inc.,No,Pcard,yes
22.97,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Deb Usa  Inc.,No,Ebuy,no
24.39,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Dza Brands Llc,Yes,Pcard,no
44.84,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Elizabeth Arden  Inc,Yes,Pcard,no
21.31,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Fenwal  Inc.,No,PO,no
20.26,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Fenwal  Inc.,No,PO,yes
15.54,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Godwin-Sbo  Lp,No,Ebuy,no
30.0,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,H.J. Harkins Company  Inc.,No,Ebuy,yes
51.36,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Hampton Inn & Suites,No,Ebuy,yes
36.07,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Heel Inc,No,Ebuy,yes
65.73,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Hospira  Inc.,No,Ebuy,no
19.43,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Jeun Cell Ltd,No,Ebuy,yes
111.0,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Johnny Rockets,No,Pcard,no
37.4,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,King Bio Inc.,No,Pcard,no
29.19,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Knust Sbs,No,PO,no
31.25,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Kroger Company,No,PO,no
15.4,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Matrixx Initiatives  Inc.,No,Ebuy,no
52.64,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Matrixx Initiatives  Inc.,No,Ebuy,yes
52.64,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Matrixx Initiatives  Inc.,No,PO,yes
263.23,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Matrixx Initiatives  Inc.,No,Pcard,yes
33.3,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Mckesson,Yes,Ebuy,no
111.0,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Quiznos,Yes,Ebuy,no
31.86,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Rimmel Inc.,No,PO,no
513.97,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Rite Aid Corporation,No,PO,no
513.97,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Safeway,Yes,PO,no
75.0,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Sandoz Inc,No,Ebuy,no
135.07,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Sandoz Inc,No,Ebuy,yes
315.86,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Sandoz Inc,No,PO,no
40.0,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Sandoz Inc,No,PO,yes
75.0,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Sandoz Inc,No,Pcard,no
70.8,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Schoeller Bleckmann Inc,No,PO,yes
23.11,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Shiseido Co.  Ltd.,No,Ebuy,no
0,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Skinfix  Inc.,Yes,Ebuy,no
65.07,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Skinfix  Inc.,Yes,PO,no
163.28,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Skinfix  Inc.,Yes,Pcard,no
